v1,v2,edge_name,edge_color,travel_seconds
LA GRANJA,RONDA DE LA COMUNICACION,10,#005AA9,60
LAVAPIES,SOL,3,#FFD000,60
GREGORIO MARAÑON,ALONSO MARTINEZ,10,#005AA9,60
ALONSO MARTINEZ,GREGORIO MARAÑON,10,#005AA9,60
REYES CATOLICOS,BAUNATAL,10,#005AA9,60
BAUNATAL,REYES CATOLICOS,10,#005AA9,60
SOL,LAVAPIES,3,#FFD000,60
ARTURO SORIA,ESPERANZA,4,#B65518,60
ESPERANZA,ARTURO SORIA,4,#B65518,60
PORTAZGO,NUEVA NUMANCIA,1,#2DBEF0,60
BARRIO DE LA CONCEPCION,PUEBLO NUEVO,7,#EE7518,60
NUEVA NUMANCIA,PORTAZGO,1,#2DBEF0,60
PUEBLO NUEVO,BARRIO DE LA CONCEPCION,7,#EE7518,60
PRINCIPE PIO,OPERA,R,#FFFFFF,60
OPERA,PRINCIPE PIO,R,#FFFFFF,60
MARQUES DE LA VALDAVIA,MANUEL DE FALLA,10,#005AA9,60
IBIZA,PRINCIPE DE VERGARA,9,#A60084,60
PRINCIPE DE VERGARA,IBIZA,9,#A60084,60
MANUEL DE FALLA,MARQUES DE LA VALDAVIA,10,#005AA9,60
ALTO DE EXTREMADURA,PUERTA DEL ANGEL,6,#98989B,60
PROSPERIDAD,ALFONSO XIII,4,#B65518,60
ALFONSO XIII,PROSPERIDAD,4,#B65518,60
ALTO DE EXTREMADURA,LUCERO,6,#98989B,60
PRINCIPE DE VERGARA,NUÑEZ DE BALBOA,9,#A60084,60
NUÑEZ DE BALBOA,PRINCIPE DE VERGARA,9,#A60084,60
ESTRELLA,SAINZ DE BARANDA,9,#A60084,60
PLAZA ELIPTICA,USERA,6,#98989B,60
REPUBLICA ARGENTINA,NUEVOS MINISTERIOS,6,#98989B,60
SAINZ DE BARANDA,ESTRELLA,9,#A60084,60
ALTO DEL ARENAL,MIGUEL HERNANDEZ,1,#2DBEF0,60
MIGUEL HERNANDEZ,ALTO DEL ARENAL,1,#2DBEF0,60
VINATEROS,ARTILLEROS,9,#A60084,60
ARTILLEROS,VINATEROS,9,#A60084,60
AVENIDA DE GUADALAJARA,LAS ROSAS,2,#ED1C24,60
AVENIDA DE GUADALAJARA,ALSACIA,2,#ED1C24,60
VILLAVERDE BAJO-CRUCE,SAN CRISTOBAL,3,#FFD000,60
PLAZA DE CASTILLA,VENTILLA,9,#A60084,60
ALSACIA,AVENIDA DE GUADALAJARA,2,#ED1C24,60
IBIZA,SAINZ DE BARANDA,9,#A60084,60
LAS ROSAS,AVENIDA DE GUADALAJARA,2,#ED1C24,60
USERA,LEGAZPI,6,#98989B,60
SAINZ DE BARANDA,IBIZA,9,#A60084,60
VENTILLA,PLAZA DE CASTILLA,9,#A60084,60
SAN CRISTOBAL,VILLAVERDE BAJO-CRUCE,3,#FFD000,60
SAN FERMIN-ORCASUR,CIUDAD DE LOS ANGELES,3,#FFD000,60
BUENOS AIRES,ALTO DEL ARENAL,1,#2DBEF0,60
CIUDAD DE LOS ANGELES,SAN FERMIN-ORCASUR,3,#FFD000,60
VENTAS,DIEGO DE LEON,5,#8FD400,60
DIEGO DE LEON,VENTAS,5,#8FD400,60
ALTO DEL ARENAL,BUENOS AIRES,1,#2DBEF0,60
PUERTA DE TOLEDO,ACACIAS,5,#8FD400,60
ACACIAS,PUERTA DE TOLEDO,5,#8FD400,60
ESTRELLA,VINATEROS,9,#A60084,60
VINATEROS,ESTRELLA,9,#A60084,60
GREGORIO MARAÑON,AVENIDA DE AMERICA,7,#EE7518,60
LA ELIPA,LA ALMUDENA,2,#ED1C24,60
LA ALMUDENA,LA ELIPA,2,#ED1C24,60
AVENIDA DE AMERICA,GREGORIO MARAÑON,7,#EE7518,60
TIRSO DE MOLINA,SOL,1,#2DBEF0,60
SOL,TIRSO DE MOLINA,1,#2DBEF0,60
ATOCHA,ANTON MARTIN,1,#2DBEF0,60
CASA DE CAMPO,COLONIA JARDIN,10,#005AA9,60
ANTON MARTIN,ATOCHA,1,#2DBEF0,60
COLONIA JARDIN,CASA DE CAMPO,10,#005AA9,60
PUERTA DEL ANGEL,ALTO DE EXTREMADURA,6,#98989B,60
PUERTA DEL ANGEL,PRINCIPE PIO,6,#98989B,60
PAN BENDITO,ABRANTES,11,#009B3A,60
ABRANTES,PAN BENDITO,11,#009B3A,60
GRAN VIA,TRIBUNAL,1,#2DBEF0,60
TRIBUNAL,GRAN VIA,1,#2DBEF0,60
ARTILLEROS,PAVONES,9,#A60084,60
PAVONES,ARTILLEROS,9,#A60084,60
ALUCHE,EUGENIA DE MONTIJO,5,#8FD400,60
EUGENIA DE MONTIJO,ALUCHE,5,#8FD400,60
BILBAO,IGLESIA,1,#2DBEF0,60
ATOCHA-RENFE,MENENDEZ PELAYO,1,#2DBEF0,60
PUENTE DE VALLECAS,PACIFICO,1,#2DBEF0,60
MENENDEZ PELAYO,ATOCHA-RENFE,1,#2DBEF0,60
PACIFICO,PUENTE DE VALLECAS,1,#2DBEF0,60
IGLESIA,BILBAO,1,#2DBEF0,60
LA PESETA,CARABANCHEL ALTO,11,#009B3A,60
PRADILLO,MOSTOLES CENTRAL,12,#A49800,60
FRANCOS RODRIGUEZ,GUZMAN EL BUENO,7,#EE7518,60
CARABANCHEL ALTO,LA PESETA,11,#009B3A,60
MOSTOLES CENTRAL,PRADILLO,12,#A49800,60
GUZMAN EL BUENO,FRANCOS RODRIGUEZ,7,#EE7518,60
HOSPITAL INFANTA SOFÍA,REYES CATOLICOS,10,#005AA9,60
CIUDAD LINEAL,SUANZES,5,#8FD400,60
SUANZES,CIUDAD LINEAL,5,#8FD400,60
REYES CATOLICOS,HOSPITAL INFANTA SOFÍA,10,#005AA9,60
BARRIO DEL PILAR,HERRERA ORIA,9,#A60084,60
HERRERA ORIA,BARRIO DEL PILAR,9,#A60084,60
PARQUE EUROPA,HOSPITAL DE FUENLABRADA,12,#A49800,60
RIOS ROSAS,IGLESIA,1,#2DBEF0,60
HOSPITAL DE FUENLABRADA,PARQUE EUROPA,12,#A49800,60
IGLESIA,RIOS ROSAS,1,#2DBEF0,60
PARQUE EUROPA,FUENLABRADA CENTRAL,12,#A49800,60
VILLAVERDE BAJO-CRUCE,CIUDAD DE LOS ANGELES,3,#FFD000,60
CIUDAD DE LOS ANGELES,VILLAVERDE BAJO-CRUCE,3,#FFD000,60
FUENLABRADA CENTRAL,PARQUE EUROPA,12,#A49800,60
CONGOSTO,LA GAVIA,1,#2DBEF0,60
LA GAVIA,CONGOSTO,1,#2DBEF0,60
CANILLEJAS,TORRE ARIAS,5,#8FD400,60
ALSACIA,LA ALMUDENA,2,#ED1C24,60
LA ALMUDENA,ALSACIA,2,#ED1C24,60
TORRE ARIAS,CANILLEJAS,5,#8FD400,60
VALDEZARZA,FRANCOS RODRIGUEZ,7,#EE7518,60
FRANCOS RODRIGUEZ,VALDEZARZA,7,#EE7518,60
TETUAN,ESTRECHO,1,#2DBEF0,60
ESTRECHO,TETUAN,1,#2DBEF0,60
PLAZA ELIPTICA,ABRANTES,11,#009B3A,60
ABRANTES,PLAZA ELIPTICA,11,#009B3A,60
BEGOÑA,FUENCARRAL,10,#005AA9,60
FUENCARRAL,BEGOÑA,10,#005AA9,60
PARQUE LISBOA,PUERTA DEL SUR,12,#A49800,60
PUERTA DEL SUR,PARQUE LISBOA,12,#A49800,60
PUERTA DEL SUR,SAN NICASIO,12,#A49800,60
SAN NICASIO,PUERTA DEL SUR,12,#A49800,60
VENTILLA,BARRIO DEL PILAR,9,#A60084,60
BARRIO DEL PILAR,VENTILLA,9,#A60084,60
LOS ESPARTALES,EL CASAR,12,#A49800,60
EL CASAR,LOS ESPARTALES,12,#A49800,60
PRINCIPE PIO,PUERTA DEL ANGEL,6,#98989B,60
CASA DEL RELOJ,HOSPITAL SEVERO OCHOA,12,#A49800,60
CONGOSTO,VILLA DE VALLECAS,1,#2DBEF0,60
HOSPITAL SEVERO OCHOA,CASA DEL RELOJ,12,#A49800,60
VILLA DE VALLECAS,CONGOSTO,1,#2DBEF0,60
MIRASIERRA,HERRERA ORIA,9,#A60084,60
HERRERA ORIA,MIRASIERRA,9,#A60084,60
LACOMA,PITIS,7,#EE7518,60
PITIS,LACOMA,7,#EE7518,60
MONCLOA,CIUDAD UNIVERSITARIA,6,#98989B,60
CARABANCHEL ALTO,SAN FRANCISCO,11,#009B3A,60
SAN FRANCISCO,CARABANCHEL ALTO,11,#009B3A,60
PRINCIPE PIO,LAGO,10,#005AA9,60
LAGO,PRINCIPE PIO,10,#005AA9,60
ARROYO CULEBRO,CONSERVATORIO,12,#A49800,60
CONSERVATORIO,ARROYO CULEBRO,12,#A49800,60
PRINCIPE PIO,ARGÜELLES,6,#98989B,60
PRADILLO,HOSPITAL DE MOSTOLES,12,#A49800,60
HOSPITAL DE MOSTOLES,PRADILLO,12,#A49800,60
JULIAN BESTEIRO,EL CARRASCAL,12,#A49800,60
EL CARRASCAL,JULIAN BESTEIRO,12,#A49800,60
SAN NICASIO,LEGANES CENTRAL,12,#A49800,60
LEGANES CENTRAL,SAN NICASIO,12,#A49800,60
MANOTERAS,HORTALEZA,4,#B65518,60
HORTALEZA,MANOTERAS,4,#B65518,60
LEGANES CENTRAL,HOSPITAL SEVERO OCHOA,12,#A49800,60
HOSPITAL SEVERO OCHOA,LEGANES CENTRAL,12,#A49800,60
CIUDAD UNIVERSITARIA,MONCLOA,6,#98989B,60
CAMPAMENTO,CASA DE CAMPO,5,#8FD400,60
CASA DE CAMPO,CAMPAMENTO,5,#8FD400,60
ALONSO DE MENDOZA,CONSERVATORIO,12,#A49800,60
CONSERVATORIO,ALONSO DE MENDOZA,12,#A49800,60
ISLAS FILIPINAS,GUZMAN EL BUENO,7,#EE7518,60
ARGÜELLES,PRINCIPE PIO,6,#98989B,60
LOS ESPARTALES,EL BERCIAL,12,#A49800,60
GUZMAN EL BUENO,ISLAS FILIPINAS,7,#EE7518,60
EL BERCIAL,LOS ESPARTALES,12,#A49800,60
PARQUE LISBOA,ALCORCON CENTRAL,12,#A49800,60
ALCORCON CENTRAL,PARQUE LISBOA,12,#A49800,60
LA MORALEJA,LA GRANJA,10,#005AA9,60
LA GRANJA,LA MORALEJA,10,#005AA9,60
UNIVERSIDAD REY JUAN CARLOS,MOSTOLES CENTRAL,12,#A49800,60
MOSTOLES CENTRAL,UNIVERSIDAD REY JUAN CARLOS,12,#A49800,60
JUAN DE LA CIERVA,GETAFE CENTRAL,12,#A49800,60
GETAFE CENTRAL,JUAN DE LA CIERVA,12,#A49800,60
FUENLABRADA CENTRAL,PARQUE DE LOS ESTADOS,12,#A49800,60
PARQUE DE LOS ESTADOS,FUENLABRADA CENTRAL,12,#A49800,60
ALONSO DE MENDOZA,GETAFE CENTRAL,12,#A49800,60
LA ELIPA,VENTAS,2,#ED1C24,60
VENTAS,LA ELIPA,2,#ED1C24,60
GETAFE CENTRAL,ALONSO DE MENDOZA,12,#A49800,60
ESPERANZA,CANILLAS,4,#B65518,60
CANILLAS,ESPERANZA,4,#B65518,60
CASA DEL RELOJ,JULIAN BESTEIRO,12,#A49800,60
JULIAN BESTEIRO,CASA DEL RELOJ,12,#A49800,60
CARPETANA,LAGUNA,6,#98989B,60
VICALVARO,VALDEBERNARDO,9,#A60084,60
VALDEBERNARDO,VICALVARO,9,#A60084,60
VALDEBERNARDO,PAVONES,9,#A60084,60
PAVONES,VALDEBERNARDO,9,#A60084,60
BATAN,LAGO,10,#005AA9,60
LAGO,BATAN,10,#005AA9,60
AVIACION ESPAÑOLA,COLONIA JARDIN,10,#005AA9,60
COLONIA JARDIN,AVIACION ESPAÑOLA,10,#005AA9,60
EL BERCIAL,EL CARRASCAL,12,#A49800,60
EL CARRASCAL,EL BERCIAL,12,#A49800,60
COSLADA CENTRAL,BARRIO DEL PUERTO,7,#EE7518,60
HOSPITAL DE MOSTOLES,MANUELA MALASAÑA,12,#A49800,60
MANUELA MALASAÑA,HOSPITAL DE MOSTOLES,12,#A49800,60
BARRIO DEL PUERTO,COSLADA CENTRAL,7,#EE7518,60
MIRASIERRA,PACO DE LUCIA,9,#A60084,60
PACO DE LUCIA,MIRASIERRA,9,#A60084,60
JUAN DE LA CIERVA,EL CASAR,12,#A49800,60
CANILLEJAS,EL CAPRICHO,5,#8FD400,60
EL CAPRICHO,CANILLEJAS,5,#8FD400,60
LAGUNA,CARPETANA,6,#98989B,60
EL CASAR,JUAN DE LA CIERVA,12,#A49800,60
PARQUE OESTE,ALCORCON CENTRAL,12,#A49800,60
ALCORCON CENTRAL,PARQUE OESTE,12,#A49800,60
BAMBU,CHAMARTIN,1,#2DBEF0,60
CHAMARTIN,BAMBU,1,#2DBEF0,60
MONTECARMELO,LAS TABLAS,10,#005AA9,60
LAS TABLAS,MONTECARMELO,10,#005AA9,60
BAMBU,PINAR DE CHAMARTIN,1,#2DBEF0,60
HENARES,HOSPITAL DEL HENARES,7,#EE7518,60
PINAR DE CHAMARTIN,BAMBU,1,#2DBEF0,60
HOSPITAL DEL HENARES,HENARES,7,#EE7518,60
SAN CRISTOBAL,VILLAVERDE ALTO,3,#FFD000,60
VILLAVERDE ALTO,SAN CRISTOBAL,3,#FFD000,60
SIERRA DE GUADALUPE,MIGUEL HERNANDEZ,1,#2DBEF0,60
MIGUEL HERNANDEZ,SIERRA DE GUADALUPE,1,#2DBEF0,60
JARAMA,HENARES,7,#EE7518,60
HENARES,JARAMA,7,#EE7518,60
RIVAS FUTURA,RIVAS VACIAMADRID,9,#A60084,60
RIVAS VACIAMADRID,RIVAS FUTURA,9,#A60084,60
COSLADA CENTRAL,LA RAMBLA,7,#EE7518,60
LA RAMBLA,COSLADA CENTRAL,7,#EE7518,60
HOSPITAL DE FUENLABRADA,LORANCA,12,#A49800,60
LORANCA,HOSPITAL DE FUENLABRADA,12,#A49800,60
JARAMA,SAN FERNANDO,7,#EE7518,60
SAN FERNANDO,JARAMA,7,#EE7518,60
LA RAMBLA,SAN FERNANDO,7,#EE7518,60
SAN FERNANDO,LA RAMBLA,7,#EE7518,60
LA PESETA,LA FORTUNA,11,#009B3A,60
LA FORTUNA,LA PESETA,11,#009B3A,60
OPAÑEL,OPORTO,6,#98989B,60
OPORTO,CARPETANA,6,#98989B,60
PARQUE OESTE,UNIVERSIDAD REY JUAN CARLOS,12,#A49800,60
UNIVERSIDAD REY JUAN CARLOS,PARQUE OESTE,12,#A49800,60
CARPETANA,OPORTO,6,#98989B,60
OPORTO,OPAÑEL,6,#98989B,60
ARROYO CULEBRO,PARQUE DE LOS ESTADOS,12,#A49800,60
PARQUE DE LOS ESTADOS,ARROYO CULEBRO,12,#A49800,60
MANUELA MALASAÑA,LORANCA,12,#A49800,60
LORANCA,MANUELA MALASAÑA,12,#A49800,60
RIVAS FUTURA,RIVAS URBANIZACIONES,9,#A60084,60
RIVAS URBANIZACIONES,RIVAS FUTURA,9,#A60084,60
LA POVEDA,ARGANDA DEL REY,9,#A60084,60
ARGANDA DEL REY,LA POVEDA,9,#A60084,60
CUATRO VIENTOS,JOAQUIN VILUMBRALES,10,#005AA9,60
JOAQUIN VILUMBRALES,CUATRO VIENTOS,10,#005AA9,60
LA POVEDA,RIVAS VACIAMADRID,9,#A60084,60
RIVAS VACIAMADRID,LA POVEDA,9,#A60084,60
ESTADIO OLIMPICO,BARRIO DEL PUERTO,7,#EE7518,60
BARRIO DEL PUERTO,ESTADIO OLIMPICO,7,#EE7518,60
PUERTA DE ARGANDA,RIVAS URBANIZACIONES,9,#A60084,60
RIVAS URBANIZACIONES,PUERTA DE ARGANDA,9,#A60084,60
NUEVOS MINISTERIOS,COLOMBIA,8,#EC82B1,60
COLOMBIA,NUEVOS MINISTERIOS,8,#EC82B1,60
AEROPUERTO T4,BARAJAS,8,#EC82B1,60
BARAJAS,AEROPUERTO T1 T2 T3,8,#EC82B1,60
BARAJAS,AEROPUERTO T4,8,#EC82B1,60
COLOMBIA,PINAR DEL REY,8,#EC82B1,60
PEÑAGRANDE,AVDA. DE LA ILUSTRACION,7,#EE7518,60
LACOMA,AVDA. DE LA ILUSTRACION,7,#EE7518,60
MAR DE CRISTAL,PINAR DEL REY,8,#EC82B1,60
MAR DE CRISTAL,CAMPO DE LAS NACIONES,8,#EC82B1,60
PINAR DEL REY,COLOMBIA,8,#EC82B1,60
PINAR DEL REY,MAR DE CRISTAL,8,#EC82B1,60
AVDA. DE LA ILUSTRACION,PEÑAGRANDE,7,#EE7518,60
AVDA. DE LA ILUSTRACION,LACOMA,7,#EE7518,60
CAMPO DE LAS NACIONES,MAR DE CRISTAL,8,#EC82B1,60
CAMPO DE LAS NACIONES,AEROPUERTO T1 T2 T3,8,#EC82B1,60
AEROPUERTO T1 T2 T3,CAMPO DE LAS NACIONES,8,#EC82B1,60
AEROPUERTO T1 T2 T3,BARAJAS,8,#EC82B1,60
